"Water Quality Data of Ground Water in Andhra Pradesh Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"2251","GROUND WATER FROM JAGIROAD NEAR
HPC EFFLUENT DISCHARGE POINT,
ASSAM","ASSAM","25","26","6.8","7","360","380","2","2.1","1.2","2","1.8","1.8","1.8","1.8","238","256","0.3","0.3","",""
"2252","GROUND WATER NEAR MSW DUMPING
SITE AT GARCHUK-GUWAHATI, ASSAM","ASSAM","25","27","6.7","6.9","350","394","2","2.8","1.4","1.7","1.8","1.8","1.8","1.8","236","262","0.28","0.3","",""
"2253","GROUND WATER FROM NALBARI, ASSAM","ASSAM","24","27","7","7.2","208","290","2","2.5","0.8","1","1.8","1.8","1.8","1.8","136","200","0.27","0.3","",""
"2254","GROUND WATER FROM BARPETA
ROAD(RLY STATION), ASSAM","ASSAM","23","25","6.9","7.4","228","270","1.8","2","0.9","1","1.8","1.8","1.8","1.8","146","184","0.28","0.3","",""
"2255","GROUND WATER NEAR BPRL,
DHALIGAON, ASSAM","ASSAM","25","31","6.9","7.2","318","320","1.8","2.2","1","1.2","1.8","1.8","1.8","1.8","206","210","0.29","0.31","",""
"2256","GROUND WATER FROM KOKRAJHAR
DISTRICT (HS SCHOOL ), ASSAM","ASSAM","25","27","7","7.2","302","330","1.8","2.2","1","1","1.8","1.8","1.8","1.8","190","218","0.28","0.33","",""
"2257","GROUND WATER FROM DHUBRI DISTRICT
(COLLEGE NAGAR ), ASSAM","ASSAM","23","30","7","7.2","296","312","1.8","2","0.8","1","1.8","1.8","1.8","1.8","186","208","0.28","0.3","",""
"2258","GROUND WATER FROM GOALPARA DIST.
(GOALPARA COLLEGE ), ASSAM","ASSAM","25","25","6.9","6.9","334","334","1.8","1.8","0.8","0.8","1.8","1.8","1.8","1.8","214","214","0.28","0.28","",""
"2259","GROUND WATER FROM DIPHU (GOVT.
COLLEGE), ASSAM","ASSAM","26","26","7","7","240","240","2","2","1","1","1.8","1.8","1.8","1.8","156","156","0.3","0.3","",""
"2260","GROUND WATER FROM HAMREN,
ASSAM","ASSAM","22","22","7","7","240","240","2.2","2.2","0.9","0.9","1.8","1.8","1.8","1.8","152","152","0.28","0.28","",""
"2261","GROUND WATER FROM HAFLONG,
ASSAM","ASSAM","21","21","7","7","158","158","2.4","2.4","0.9","0.9","1.8","1.8","1.8","1.8","98","98","0.28","0.28","",""
"2262","GROUND WATER FROM KARIMGANJ
(COLLEGE), ASSAM","ASSAM","22","23","6.7","6.7","112","126","2.3","2.3","0.7","1.1","1.8","1.8","1.8","1.8","70","94","0.26","0.28","",""
"2263","GROUND WATER FROM HIALAKANDI
(NEAR ASTC BUS STAND ), ASSAM","ASSAM","22","23","6.4","6.5","176","190","2.1","2.1","0.7","0.9","1.8","1.8","1.8","1.8","110","110","0.26","0.28","",""
"2264","GROUND WATER IN PANCHGRAM
MARKET NEAR CACHAR PAPER MILL,
ASSAM","ASSAM","22","22","6.5","6.5","156","168","2.8","2.8","0.7","0.9","1.8","1.8","1.8","1.8","104","110","0.28","0.3","",""
"3761","GROUND WATER FROM BISWANATH
CHARIALI TOWN","ASSAM","24","26","7","7.3","230","260","2","2.4","1.1","1.2","1.8","1.8","1.8","1.8","146","180","0.29","0.33","",""
"3762","GROUND WATER NEAR MUNICIPAL
WASTE PROCESSING FACILITY,
MORABHARLI, TEZPUR","ASSAM","26","26","6.8","6.8","220","280","2","2.1","0.8","1","1.8","1.8","1.8","1.8","146","168","0.3","0.3","",""
"3766","GROUND WATER FROM MANGALDOI
TOWN","ASSAM","23","26","6.8","6.8","196","366","2.1","2.2","0.9","1","1.8","1.8","1.8","1.8","140","226","0.3","0.31","",""
"3770","GROUND WATER NEAR GARMUR
RECREATION GROUND, JORHAT","ASSAM","19","25","7","7.4","190","250","1.8","2.4","0.9","1","1.8","1.8","1.8","1.8","128","160","0.28","0.3","",""
"3771","GROUND WATER FROM TITABAR URBAN
WATER SUPPLY, TITABAR","ASSAM","19","25","7.2","7.4","228","392","1.8","2.1","1","1.4","1.8","1.8","1.8","1.8","146","232","0.3","0.3","",""
"3779","GROUND WATER FROM GARMUR,
MAJULI","ASSAM","20","29","7.3","7.6","230","254","2","2.1","1","1","1.8","1.8","1.8","1.8","158","158","0.26","0.3","",""
"3782","GROUND WATER FROM NIZ KODOMONI
PWSS COMPLEX, DIBRUGARH","ASSAM","21","21","7.2","7.2","296","296","2.3","2.3","1","1","1.8","1.8","1.8","1.8","198","198","0.26","0.26","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"3785","GROUND WATER FROM BORBEEL NO. 1 ,
RAM NAGAR, DIGBOI, PUBLIC WATER
SUPPLY, TINSUKIA","ASSAM","18","18","7.1","7.1","258","258","2.1","2.1","1","1","1.8","1.8","1.8","1.8","176","176","0.27","0.27","",""
"3790","GROUND WATER NEAR GOGAMUKH
PUBLIC WATER SUPPLY SCHEME,
GOGAMUKH, DHEMAJI","ASSAM","26","26","7","7","210","256","1.9","2.1","1","1","1.8","1.8","1.8","1.8","142","178","0.32","0.32","",""
"3793","TUBE WELL AT R/O SRI TANKESWAR DAS,
RUPJYOTI COLONY (NAGABALI)
MUNICIPALITY DUMPING SITE,
GOLAGHAT","ASSAM","21","25","6.8","6.8","232","242","2","2.2","0.9","1","1.8","1.8","1.8","1.8","160","162","0.3","0.36","",""
"3794","TUBE WELL AT R/O SRI ANIL BAORA AT
BOSAGAON NEAR BY THE ATHKHALIA,
NAMGHAR, PO: PULIKAITONI","ASSAM","23","25","7","7.2","258","290","2.1","2.2","1","1.1","1.8","1.8","1.8","1.8","168","198","0.28","0.32","",""
"3795","TUBE WELL OF WOKHA GORONGA GIRLS
ME SCHOOL, GOROUNGA TINIALI,
FURKATING","ASSAM","23","25","7.2","7.4","300","328","2","2.4","0.7","1","1.8","1.8","1.8","1.8","194","216","0.28","0.3","",""
"3801","GROUND WATER FROM MEHEPUR
TRENCHING GROUND, MEHERPUR,
CACHAR","ASSAM","21","24","6.8","7.1","228","302","2.1","2.7","0.8","1.2","1.8","1.8","1.8","1.8","156","188","0.29","0.32","",""
"3802","GROUND WATER FROM MEHEPUR NEAR
A CLUSTER OF NURSING HOME &
DIAGNOSTIC CENTRE, MEHERPUR,
CACHAR","ASSAM","21","24","6.8","7.2","296","306","2.2","2.8","0.8","1","1.8","1.8","1.8","1.8","194","196","0.3","0.31","",""
"3805","GROUND WATER NEAR BADARPUR
INDUSTRIAL AREA AT BADARPUR GHAT,
KARIMGANJ","ASSAM","22","23","6.4","6.6","150","156","2.4","2.5","1","1.1","1.8","1.8","1.8","1.8","106","114","0.28","0.32","",""
"3813","GROUND WATER FROM BONDA,
GUWAHATI","ASSAM","24","26","7.2","7.2","260","322","2","2.2","1","1","1.8","1.8","1.8","1.8","166","208","0.26","0.3","",""
"3815","GROUND WATER FROM KHANAPARA,
GUWAHATI","ASSAM","23","28","6.8","7.4","210","326","2.1","2.2","1","1","1.8","1.8","1.8","1.8","128","206","0.28","0.3","",""
"3816","GROUND WATER FROM BASISTHA,
GUWAHATI","ASSAM","24","29","7.2","7.4","192","326","2.1","2.2","1","1","1.8","1.8","1.8","1.8","138","210","0.3","0.31","",""
"3817","GROUND WATER FROM KAHILIPARA,
GUWAHATI","ASSAM","26","29","7","7.3","308","330","2","2.1","0.8","1.8","1.8","1.8","1.8","1.8","192","220","0.28","0.3","",""
"3818","GROUND WATER FROM MALIGAON,
GUWAHATI","ASSAM","24","25","6.5","6.8","190","310","2.2","2.4","0.9","1","1.8","1.8","1.8","1.8","128","194","0.28","0.28","",""
"4001","GROUND WATER FROM PANJABARI","ASSAM","23","28","7","7.1","230","330","2","2.2","0.9","1","1.8","1.8","1.8","1.8","148","204","0.3","0.3","",""
"4002","GROUND WATER FROM SANTIPUR","ASSAM","25","29","6.8","6.9","216","316","2.1","2.2","1","1.2","1.8","1.8","1.8","1.8","146","198","0.27","0.3","",""
"4003","GROUND WATER FROM TEZPUR
COLLEGIATE HIGH SCHOOL","ASSAM","26","26","7","7","180","260","2.2","2.2","1","1","1.8","1.8","1.8","1.8","106","176","0.31","0.33","",""
"4007","GROUND WATER FROM LAKWAH","ASSAM","20","30","7.6","7.6","240","298","1.8","2","0.9","0.9","1.8","1.8","1.8","1.8","146","190","0.3","0.3","",""
"4008","GROUND WATER FROM GELEKY","ASSAM","25","28","7.1","7.2","246","270","1.8","2.2","0.9","1","1.8","1.8","1.8","1.8","150","180","0.29","0.31","",""
"4303","GROUND WATER FROM SATGAON","ASSAM","25","28","6.9","7.4","286","318","2.1","2.2","0.9","1.2","1.8","1.8","1.8","1.8","186","210","0.31","0.33","",""
"4327","GROUND WATER FROM RAILWAY
STATION ROAD, ROWTA","ASSAM","24","26","6.8","6.8","194","326","2.1","2.2","1","1","1.8","1.8","1.8","1.8","138","198","0.3","0.33","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"4328","GROUND WATER BESIDE MSW DUMPING
SITE, DHEKIAJULI","ASSAM","24","26","6.6","7.2","212","338","2","2.1","0.9","1","1.8","1.8","1.8","1.8","138","216","0.28","0.31","",""
"4330","GROUND WATER NEAR PANGRAM STONE
CRASHER CLUSTER","ASSAM","23","24","6.8","6.8","156","252","2.6","2.9","0.9","1","1.8","1.8","1.8","1.8","94","176","0.24","0.31","",""
"4333","GROUND WATER FROM DEMOW WATER
SUPPLY DEMOW TOWN","ASSAM","21","24","7.5","7.6","240","326","1.6","2.1","0.9","1","1.8","1.8","1.8","1.8","154","204","0.3","0.31","",""
"4335","GROUND WATER FROM AMGURI,
AMGURI TOWN","ASSAM","20","30","7.2","7.4","226","228","1.7","2","0.8","1.1","1.8","1.8","1.8","1.8","136","154","0.28","0.28","",""
"4338","GROUND WATER FORM TENGA PUKHURI
KUKURACHOWA WATER SUPPLY TENGA
PUKHURI","ASSAM","20","37","7","7.6","272","290","1.8","2.2","0.9","1","1.8","1.8","1.8","1.8","178","184","0.3","0.3","",""
"4339","GROUND WATER NEAR NAGAON TOWN
PIPE WATER SUPPLY SCHEME(Z-111),
NAGAON","ASSAM","25","29","7","7.6","204","324","2","2","0.8","0.9","1.8","1.8","1.8","1.8","136","204","0.32","0.33","",""
"4340","GROUND WATER FROM NAGAON
COLLEGE, NAGAON","ASSAM","23","33","6.8","7","210","330","2","2.2","1","1","1.8","1.8","1.8","1.8","130","206","0.32","0.33","",""
