"WATER QUALITY DATA OF DRAINS, STPS IN ANDHRA PRADESH MONITORED UNDER NWMP- 2024"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
"3863","RAMPUR JATTAN MOGINAND NALA
BEFORE CONFLUENCE TO RIVER
MARKANDA NEAR RADHA SWAMI
SATSANG BHAWAN","DRAIN","HIMACHAL PRADESH","","","4.0","6.1","7.3","8.5","446","1557","2.7","10.0","0.79","1.95","220","42500","920","276000","2","7"
"3865","ROON NALLAH NEAR MEERPUR
KOTLA, GURUDWARA","DRAIN","HIMACHAL PRADESH","","","7.1","8.3","7.3","8.5","337","1134","1.2","3.8","0.60","0.98","27","110","170","540","2","2"
"3867","SARVARI NALLAH BEFORE
CONFLUENCE TO RIVER BEAS","DRAIN","HIMACHAL PRADESH","2","20","7.6","8.1","7.1","8.2","148","260","1.0","1.0","0.32","1.61","32","94","220","430","2","2"
"3868","BARAGRAM NALLAH BEFORE
CONFLUENCE TO RIVER BEAS","DRAIN","HIMACHAL PRADESH","3","18","7.7","8.4","7.0","8.4","56","120","1.0","1.0","0.32","1.36","31","58","140","280","2","2"
"3875","SURAJMUKHI NALLAH U/S WSS
GALAYANA D/S OF SHOOLINI
UNIVERSITY","DRAIN","HIMACHAL PRADESH","7","21","7.2","8.7","7.1","8.6","180","957","1.0","1.3","1.26","19.48","2","13","17","110","2","2"
"3879","BHATIAN NALLAH U/S BHATIAN
VILLAGE, NEAR TVS INDUSTRY,
NALAGARH","DRAIN","HIMACHAL PRADESH","14","26","3.0","5.6","7.2","8.1","475","4080","1.0","80.0","2.43","11.28","7","1600","46","1600","2","11"
"3881","BHATIAN NALLAH D/S SARA TEXTILE,
NALAGARH","DRAIN","HIMACHAL PRADESH","13","29","3.5","6.5","7.3","8.2","948","3890","1.0","6.0","2.35","12.18","2","540","22","1600","2","17"
"4029","TAALO NALA (FROM NAHAR TOWN)
AT KHADDAR KA BAGH B/C TO RIVER
MARKANDA","DRAIN","HIMACHAL PRADESH","","","6.1","7.9","7.7","8.5","341","975","1.0","2.2","0.61","1.44","47","170","280","540","2","2"
"4034","SAHU NALLAH U/S BHURI SINGH SHEP","DRAIN","HIMACHAL PRADESH","10","15","8.5","9.1","7.3","8.1","148","357","1.0","1.8","0.34","2.27","2","430","33","1700","2","2"
"4035","SAHU NALLAH D/S BHURI SINGH SHEP","DRAIN","HIMACHAL PRADESH","10","15","8.0","9.1","7.4","8.0","146","346","1.0","1.7","0.50","4.71","2","540","33","2400","2","2"
"4036","KUNNI PUL, VILL SAMAHU, PO
KUNIHAR, TEHSIL ARKI","DRAIN","HIMACHAL PRADESH","9","22","7.3","8.3","6.0","8.5","350","697","1.0","1.0","1.25","9.00","2","4","22","40","2","2"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"4425","RAW WATER FOR LWSS OF CHURAT
NALLAH","DRAIN","HIMACHAL PRADESH","6","18","8.0","8.9","7.6","8.3","136","227","1.0","1.0","0.36","1.73","4","220","14","920","2","2"
"4426","RAW WATER FOR LWSS OF JAGROTI
NALLAH","DRAIN","HIMACHAL PRADESH","8","18","7.9","9.1","7.8","8.3","117","393","1.0","1.0","0.44","2.68","5","540","47","1600","2","2"
"4430","LIFT NALLAH BEFORE CONFLUENCE TO
ASHWANI KHAD NEAR DOGRHA
BRIDGE","DRAIN","HIMACHAL PRADESH","10","25","5.1","8.3","7.0","8.2","202","750","2.4","9.8","1.21","4.88","14","920","350","9300","2","47"
"4454","JARANGLA NALLAH U/S WATER
SUPPLY SCHEME","DRAIN","HIMACHAL PRADESH","9","15","8.6","9.2","7.5","8.1","160","465","1.0","2.3","0.30","2.17","2","470","8","1700","2","2"
"4455","KLUIN NALLAH U/S WATER SUPPLY
SCHEME","DRAIN","HIMACHAL PRADESH","9","14","8.5","9.4","7.6","8.0","206","358","1.0","1.9","0.30","3.06","7","240","63","1700","2","2"
"4462","SAINJ NALLAH (U/S SAINJ WATER
SUPPLY SCHEME AT DARGI)","DRAIN","HIMACHAL PRADESH","10","22","7.4","8.2","7.5","8.4","305","784","1.0","1.0","0.32","1.84","5","350","70","1600","2","2"
"4463","DHANESHAR NALLAH (U/S SAINJ
WATER SUPPLY SCHEME) NEAR GYASI
MATA MANDIR","DRAIN","HIMACHAL PRADESH","10","21","7.0","8.2","7.5","8.5","308","791","1.0","1.0","0.32","1.90","2","40","14","1600","2","2"
"4464","ALHI KHAD NEAR INTAKE WSS AT
VILL. NOG","DRAIN","HIMACHAL PRADESH","11","27","8.1","9.2","7.9","8.4","286","530","1.0","1.0","0.32","1.73","26","79","150","350","2","2"
