"Station
Code","Name of the monitoring location","State","Temperature
(°C)","Dissolved
Oxygen
"4451","RIVER SUTLEJ AFTER CONFLUENCE WITH GANVI KHAD","HIMACHAL
PRADESH","7","13","8.8","9.4","7.2","8.4","81","475","1.0","1.0","0.32","0.83","7","350","70","1600","2","2"
"4446","RIVER SUTLEJ U/S IANDFILL SITE RAMPUR","HIMACHAL
PRADESH","7","14","8.6","9.2","7.5","8.3","84","468","1.0","1.0","0.32","1.78","2","70","33","1600","2","2"
"4447","RIVER STLUJ D/S LANDFILL SITE RAMPUR","HIMACHAL
PRADESH","7","14","8.4","9.2","7.7","8.3","89","476","1.0","1.0","0.32","1.83","12","350","94","1600","2","2"
"1086","RIVER SUTLEJ AT U/S RAMPUR","HIMACHAL
PRADESH","7","14","8.5","9.2","7.6","8.4","79","467","1.0","1.0","0.32","1.83","4","24","26","920","2","2"
"1087","RIVER SUTLEJ AT D/S RAMPUR","HIMACHAL
PRADESH","7","14","8.4","9.5","7.8","8.4","78","418","1.0","1.0","0.32","2.10","14","540","140","1600","2","2"
"3869","RIVER SUTLEJ D/S TRT OF RAMPUR HYDEL ELECTRIC
PROJECT","HIMACHAL
PRADESH","7","14","8.6","9.2","7.9","8.3","84","460","1.0","1.0","0.32","1.82","9","920","70","1600","2","2"
"1389","RIVER SUTLEJ AT WANGTOO BRIDGE","HIMACHAL
PRADESH","7","13","8.8","9.3","7.7","8.3","80","472","1.0","1.0","0.32","0.95","4","94","26","1600","2","2"
"1013","RIVER SUTLEJ AT U/S TATAPANI","HIMACHAL
PRADESH","7","14","8.5","9.1","7.8","8.3","95","420","1.0","1.0","0.32","1.84","2","39","21","1600","2","2"
"1014","RIVER SUTLEJ U/S OF EXIT POINT OF DEHAR POWER
HOUSE","HIMACHAL
PRADESH","8","22","6.5","9.2","7.5","8.7","125","410","1.0","1.0","0.32","0.93","23","58","130","280","2","2"
"1015","RIVER SUTLEJ D/S OF EXIT POINT OF DEHAR POWER
HOUSE","HIMACHAL
PRADESH","8","22","6.5","9.1","7.7","8.3","130","280","1.0","1.0","0.32","0.99","41","110","240","430","2","2"
"4032","RIVER SUTLEJ D/S ACC BARMANA","HIMACHAL
PRADESH","8","22","7.6","8.8","7.6","8.3","123","292","1.0","1.0","0.32","1.05","23","94","170","350","2","2"
"4033","RIVER SUTLEJ NEAR LUHNOO GROUND","HIMACHAL
PRADESH","8","26","7.2","8.5","7.6","8.5","120","275","1.0","2.1","0.32","1.17","12","540","540","1600","2","2"
"1016","RIVER SUTLEJ D/S BHAKHRA","HIMACHAL
PRADESH","15","20","9.0","9.7","7.6","8.1","158","311","1.0","2.8","0.32","46.02","15","280","58","540","2","2"
"Station
Code","Name of the monitoring Location","State","Temperature
(°C)","Dissolved
Oxygen
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"","","","","> 5.0 mg/ L","6.5 - 8.5","","< 3.0 mg/ L","","< 2500 MPN/ 100 Ml","","< 500 MPN/ 100 Ml"
"30087","RIVER SUTLEJ U/S AT OLINDA, NEAR BHAKRA DAM, H.P.","HIMACHAL
PRADESH","17","25","7.5","9.6","7.8","8.2","234","263","1.0","2.0","0.32","0.40","20","1700","82","7900","33","230"
"30009","RIVER SUTLEJ AT NANGAL (H.P.)","HIMACHAL
PRADESH","19","22","6.8","9.0","7.8","8.1","242","271","1.0","3.0","0.32","2.68","31","6800","110","84000","2","33"
