"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"5200","ASHTAMUDI LAKE AT PERUMON,
KOLLAM","LAKE","KERALA","26","30","4.5","7.6","7.1","8.0","12110","38700","1.0","3.4","0.30","7.50","100","170","540","700","20","50"
"5201","ASHTAMUDI LAKE NEAR M/S.
KUNDARA CERAMICS, KOLLAM","LAKE","KERALA","26","29","3.4","7.2","7.2","8.0","11520","41210","1.1","4.2","0.30","5.80","10","170","540","700","20","63"
"5230","LAKE KARLAD AT WAYANAD","LAKE","KERALA","22","31","2.5","7.6","5.8","7.2","48","157","1.0","5.8","0.30","0.30","2","47","4","120","2","39"
"5527","Vembanad lake At the U/S of
Thanneermukkam bund","LAKE","KERALA","28","31","5.3","8.0","6.9","8.6","179","4896","1.0","3.5","0.30","1.32","2","6300","540","8700","2","1000"
"5528","Vembanad lake at Padashekaram
at Kainikkari","LAKE","KERALA","29","30","3.7","7.6","7.2","8.9","120","683","1.0","2.8","0.30","2.67","200","5206","710","9000","2","2"
"5529","Vembanad lake at Kottayam
Ferry","LAKE","KERALA","27","29","3.6","6.6","6.1","7.0","70","8372","1.0","1.4","0.30","1.21","2","850","48","1250","2","2"
"5530","Vembanad lake at
Changanassery Ferry","LAKE","KERALA","27","29","2.2","4.8","6.3","7.0","118","257","1.0","3.2","0.30","1.99","49","900","240","1400","2","2"
"5531","Vembanad lake at Vaikkom
Beach & Ferry","LAKE","KERALA","27","29","4.9","8.1","6.4","7.1","198","31770","1.0","1.6","0.30","1.32","2","650","210","1200","2","2"
"2325","POND AT (PADMANABHA) SREE
PADMANABHA SWAMY TEMPLE
(TVPM)","POND","KERALA","28","29","5.0","9.5","7.6","9.0","205","337","1.0","4.9","0.30","0.46","430","5700","630","6900","2","2"
"3462","MANANCHIRA POND AT
KOZHEKODE","POND","KERALA","26","32","6.7","8.2","6.3","8.0","55","81","1.0","1.8","0.30","0.31","40","7000","70","11000","2","840"
"5164","THEERTHAMKARA POND AT
PADANNAKKAD,KANHANGAD
MUNCIPALITY","POND","KERALA","27","31","2.8","9.8","6.9","8.0","132","865","1.3","165.0","0.30","24.32","2","1960","310","4600","2","1280"
"5165","CHIRAKKAL CHIRA
,KADALAYI,KANNUR","POND","KERALA","27","32","6.8","8.0","6.5","8.3","90","346","1.0","6.6","0.30","4.50","10","2800","31","3500","2","310"
"5166","THRIKAIKUNNU
CHIRA,KOOTHUPARAMBA,KANN
UR","POND","KERALA","27","32","6.1","8.0","6.5","8.2","68","255","1.0","7.9","0.30","0.30","100","1800","120","2200","20","250"
"5170","AALUMKULAM POND AT
KOORKKANCHERY,THRISSUR","POND","KERALA","27","34","2.4","7.8","6.1","8.6","146","228","1.0","3.0","0.30","12.00","2","700","60","1400","2","160"
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"5212","POND NEAR HMT
COLONY,NORTH KALAMASSERY
PALAM, ERNAKULAM","POND","KERALA","26","30","7.0","13.9","7.0","9.4","73","180","1.1","6.5","0.30","0.30","280","7900","1100","22000","40","540"
"1401","POND C/O JUMA MASJID","POND","LAKSHADWEEP","29","33","7.2","22.0","7.8","9.0","571","593","","","2.41","2.41","140","900","280","1600","",""
"4557","POND C/O MOHIDHEEN PALLI","POND","LAKSHADWEEP","29","36","","","7.8","9.2","209","694","","","","","","","","","",""
"4568","POND NEAR KULKAPPINAKKAL","POND","LAKSHADWEEP","28","35","","","7.5","7.9","627","1304","","","","","","","","","",""
"1373","UPPER LAKE AT WATER SUPPLY
INTAKE WELL NEAR KAMLA
PARK, BHOPAL (M.P.)","LAKE","MADHYA PRADESH","18","28","4.9","8.9","7.4","8.4","209","321","1.0","2.4","0.54","6.21","2","48","46","240","2","2"
"1374","LOWER LAKE SPILL-OUTLET NEAR
KALIGHAT, BHOPAL (M.P.)","LAKE","MADHYA PRADESH","18","28","4.2","8.4","7.2","8.4","400","509","4.0","11.0","2.09","16.68","94","1600","540","1600","2","2"
"2130","MADHAV LAKE, SHIVPURI","LAKE","MADHYA PRADESH","19","25","7.2","7.9","7.1","7.6","296","779","1.6","1.9","0.72","1.50","2","6","16","30","",""
"2131","YASHWANT SAGAR AT INDORE","LAKE","MADHYA PRADESH","19","30","6.8","7.3","7.4","8.3","440","727","1.0","1.6","1.00","3.44","2","2","58","130","2","2"
"2132","BILAWALI TALAB AT INDORE","LAKE","MADHYA PRADESH","19","22","6.9","8.2","7.5","8.6","303","434","1.0","1.8","0.74","3.01","2","2","43","63","2","2"
"2133","SIRPUR TALAB AT INDORE","LAKE","MADHYA PRADESH","20","22","6.9","7.5","7.2","8.3","419","580","1.1","2.0","0.49","11.12","2","2","6","63","",""
"2134","NAGCHUN TALAB AT KHANDWA","LAKE","MADHYA PRADESH","19","22","6.6","8.0","7.4","8.6","248","311","1.0","1.4","0.78","1.75","2","2","40","120","",""
"2135","GOVINDGARH LAKE","LAKE","MADHYA PRADESH","20","31","7.0","7.9","7.5","8.1","210","416","1.2","1.8","0.85","1.30","2","2","37","48","2","2"
"2136","SHAHPURA LAKE NEAR SPILL-
OUTLET AT BHOPAL( M.P.)","LAKE","MADHYA PRADESH","18","27","1.5","8.2","6.5","8.2","493","728","4.6","12.0","1.61","19.39","79","1600","1600","1600","2","2"
"2137","UPPER LAKE NEAR WATER
SUPPLY INTAKE WELL YATCH
CLUB BHOPAL(M.P.)","LAKE","MADHYA PRADESH","19","29","5.8","8.9","7.5","8.3","178","314","1.0","2.5","1.96","5.64","2","41","49","240","2","2"
"2138","UPPER LAKE NEAR WATER
SUPPLY INTAKE WELL NEAR
KARBALA ,BHOPAL(M.P.)","LAKE","MADHYA PRADESH","18","28","5.8","10.2","7.3","8.4","187","331","1.0","2.3","0.32","6.29","2","39","70","210","2","2"
"2139","UPPER LAKE NEAR WATER
SUPPLY INTAKE WELL
BAIRAGARH , BHOPAL(M.P.)","LAKE","MADHYA PRADESH","18","29","4.6","7.9","7.3","8.3","250","334","1.0","2.8","1.91","6.03","2","48","33","280","2","2"
"2141","JANUNIA TALAB NEAR WATER
SUPPLY INTAKE WELL SEHORE(
M.P.)","LAKE","MADHYA PRADESH","18","28","5.8","8.0","7.1","8.6","227","408","1.2","3.2","1.83","11.10","6","48","94","430","2","2"
"4614","SUPTAL JABALPUR","LAKE","MADHYA PRADESH","19","29","6.0","7.4","6.9","7.9","316","438","1.8","5.4","0.30","3.88","4","81","46","1600","",""
"4615","GANGA SAGAR JABALPUR","LAKE","MADHYA PRADESH","20","30","6.1","7.6","6.5","7.7","277","502","2.3","4.3","0.32","3.22","4","40","22","1600","",""
"4622","KOPTAL LAKE AT WATER SUPPLY
INTAKE POINT CHHATARPUR","LAKE","MADHYA PRADESH","17","29","6.2","6.6","7.1","7.7","600","812","1.8","2.8","0.32","1.14","2","2","63","94","2","2"
"5523","Sankhya Sagar","LAKE","MADHYA PRADESH","20","24","7.0","7.8","7.0","7.7","374","810","1.2","2.0","0.50","1.40","2","6","18","36","",""
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"5545","Raj Nagar Lake , Near Water
Supplu , Damoh","LAKE","MADHYA PRADESH","17","32","6.6","6.9","7.2","8.4","168","332","1.4","1.6","0.32","1.04","2","2","23","70","2","2"
"5546","Lokpal Sagar, Near Water Supply,
Panna","LAKE","MADHYA PRADESH","18","32","6.0","7.5","7.3","8.5","168","234","1.4","1.6","0.32","0.49","2","2","25","48","2","2"
"5547","Narpat Sagar , Near Water
Supply , Panna","LAKE","MADHYA PRADESH","18","31","6.2","6.8","7.4","8.4","174","297","1.3","1.7","0.32","0.61","2","2","26","46","2","2"
"3297","MITHA TALAB, DEWAS","POND","MADHYA PRADESH","20","23","6.8","7.0","7.7","7.9","302","457","2.0","2.0","0.84","0.95","2","4","49","70","2","2"
"3298","POND WATER AT LAKODA","POND","MADHYA PRADESH","23","23","5.8","7.4","7.3","7.9","292","314","1.6","1.8","0.53","0.53","2","2","49","49","",""
"3299","HANUMANTAL JABALPUR","POND","MADHYA PRADESH","19","30","5.8","8.1","6.9","7.9","268","910","1.9","6.6","0.34","3.22","2","48","38","1600","",""
"3300","RANITAL TALAB, JABALPUR","POND","MADHYA PRADESH","19","30","5.8","7.4","6.4","7.8","296","481","2.3","7.4","0.32","3.82","2","240","31","1600","",""
"3301","MOTI TALAB AT BALAGHAT","POND","MADHYA PRADESH","20","31","6.4","8.2","6.7","8.1","320","566","1.1","5.0","0.10","3.62","2","48","17","920","",""
"3302","PIPLIYA PALA TALAB, INDORE","POND","MADHYA PRADESH","20","22","2.6","6.9","7.4","8.3","418","746","1.4","9.0","1.09","2.49","2","4","40","170","2","2"
"3303","RANI TALAB, REWA","POND","MADHYA PRADESH","23","33","6.0","7.6","7.6","8.3","332","359","1.4","1.6","0.96","1.12","2","2","43","48","2","2"
"3830","GOKALPUR TALAB, DIST
JABALPUR","POND","MADHYA PRADESH","20","30","5.9","9.4","6.2","8.1","264","694","2.0","8.2","0.30","3.22","3","43","11","1600","",""
"3831","DAL SAGAR TALAB, DIST SEONI","POND","MADHYA PRADESH","20","28","5.2","7.2","7.3","7.9","382","819","2.6","5.4","0.32","3.82","2","12","26","1600","",""
"3849","SITAPAT TALAB DHAR","POND","MADHYA PRADESH","20","22","6.9","7.6","7.5","8.3","331","549","1.0","1.1","0.75","1.55","2","2","5","58","",""
"3850","BAGDOON TALAB PITHAMPUR
SANJAY JALASHAY PITHAMPUR","POND","MADHYA PRADESH","20","21","5.8","7.7","7.4","8.0","336","1488","1.0","2.4","0.64","1.27","2","2","33","140","",""
"2129","PARIYAT TANK NEAR WSS
INTAKE POINT JABALPUR","TANK","MADHYA PRADESH","19","28","5.4","7.8","6.9","7.5","98","486","1.6","1.9","0.36","2.62","2","10","31","50","",""
"5792","LONAR SUROVAR LAKE ,NEAR
KAMALJA DEVI TEMPLE
,TQ.LONAR DIST.BULDHANA","LAKE","MAHARASHTRA","20","27","0.3","6.0","9.4","10.3","4169","9080","16.5","99.0","0.92","6.04","2","43","2","350","2","2"
"1425","LOKTAK LAKE AT THANA","LAKE","MANIPUR","19","31","7.2","7.5","7.0","7.4","130","274","3.1","3.4","","","10","45","45","75","",""
"1426","LOKTAK LAKE AT BISHNUPUR","LAKE","MANIPUR","19","31","7.3","7.5","7.1","7.3","130","190","3.0","3.4","","","15","45","55","90","",""
"1629","LOKTAK LAKE AT SENDRA","LAKE","MANIPUR","20","31","7.2","7.4","7.2","7.3","140","190","3.0","3.4","","","35","50","75","105","",""
"1630","LOKTAK LAKE AT KARANG
ISLAND","LAKE","MANIPUR","19","31","7.2","7.4","7.1","7.3","140","168","3.1","3.4","","","5","30","35","60","",""
"2837","PUMLEN LAKE AT TOKPACHING","LAKE","MANIPUR","19","30","7.2","7.6","7.1","7.4","120","200","3.1","3.4","","","10","35","30","60","",""
"2839","PUKHRI AT LANGMEIDONG","POND","MANIPUR","19","30","7.2","7.6","7.3","7.4","136","280","3.1","3.3","","","20","45","50","65","",""
"2840","LAMJAO PUKHURI AT ACHOUBA","POND","MANIPUR","22","30","7.1","7.4","7.2","7.3","160","310","3.2","3.4","","","10","20","30","50","",""
"2841","HIRANMEI PUKHURI AT
HIYANGLAM","POND","MANIPUR","20","30","6.9","7.4","7.1","7.4","158","330","3.2","3.5","","","5","55","25","95","",""
"2842","LANGMEIDONG PUKHURI AT
THOUBAL","POND","MANIPUR","20","30","7.2","7.5","7.3","7.4","140","308","3.1","3.4","","","5","25","30","60","",""
"2843","POND AT LALAMBUNG","POND","MANIPUR","19","31","7.0","7.2","7.0","7.3","160","450","3.2","3.5","","","15","45","45","75","",""
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"2844","LILONG CHAJING PUKHURI
ACHOUBA","POND","MANIPUR","20","31","7.2","7.4","7.2","7.4","130","292","3.0","3.4","","","5","30","35","80","",""
"2845","POND AT NGAIRANGBAM","POND","MANIPUR","21","31","7.3","7.5","7.3","7.5","120","186","2.9","3.3","","","20","40","40","85","",""
"2846","POND AT MOIDANGPOK","POND","MANIPUR","20","30","7.3","7.7","7.3","7.5","120","210","2.9","3.3","","","15","30","40","70","",""
"2847","PUKHURI NEAR MAIBAM
LOKPACHING","POND","MANIPUR","23","31","7.1","7.4","7.1","7.4","130","210","3.2","3.7","","","20","40","60","90","",""
"2848","POND AT KAKWA BAZAR","POND","MANIPUR","22","30","6.8","7.1","6.9","7.3","180","526","3.4","3.8","","","45","65","70","100","",""
"2849","CHANAM PUKHURI","POND","MANIPUR","20","30","6.6","7.3","7.0","7.3","170","360","3.3","3.7","","","35","50","60","95","",""
"2850","NINGTHEM PUKHURI","POND","MANIPUR","18","31","6.5","7.2","7.1","7.4","180","332","3.5","3.9","","","50","60","85","115","",""
"2851","POND AT KONGBA BAZAR","POND","MANIPUR","19","31","6.5","7.2","7.0","7.3","250","510","3.5","4.1","","","55","96","160","250","",""
"2861","KANGLA POND NEAR WESTERN
KANGLA GATE","POND","MANIPUR","20","30","6.9","7.3","7.2","7.5","220","306","3.1","3.6","","","40","65","90","135","",""
"1347","UMIAM LAKE AT BARAPANI","LAKE","MEGHALAYA","15","20","5.2","7.6","6.9","7.3","73","111","3.7","5.1","0.42","1.52","310","450","2100","5400","130","210"
"1348","WARD'S LAKE AT SHILLONG","LAKE","MEGHALAYA","14","19","7.1","8.4","6.7","7.4","114","155","1.3","2.3","0.32","1.28","110","380","840","1300","27","110"
"1459","THADLASKEIN LAKE, JOWAI","LAKE","MEGHALAYA","12","19","7.4","8.7","6.7","7.0","24","40","1.0","1.2","0.32","5.30","2","17","49","140","2","4"
"3346","UMIAM LAKE AT OUTFALL OF
UMIAM INTO LAKE","LAKE","MEGHALAYA","15","19","4.2","6.5","6.7","7.2","73","100","4.2","7.3","0.32","5.30","490","1100","1300","4300","240","430"
"3347","UMIAM LAKE AT MIDDLE POINT","LAKE","MEGHALAYA","15","19","5.4","7.5","7.0","7.5","74","105","3.3","4.9","0.39","1.22","240","380","1700","2800","130","170"
"3348","UMIAM LAKE NEAR UNION
CHRISTIAN COLLEGE","LAKE","MEGHALAYA","14","19","5.1","7.6","6.8","7.6","72","104","3.2","5.3","0.39","1.32","270","430","2100","2800","140","240"
"3349","TASEK LAKE AT SONGSAK
(NAPHAK),","LAKE","MEGHALAYA","15","23","6.8","8.1","6.8","7.2","54","72","1.0","1.9","0.32","0.53","17","33","210","540","2","12"
"3723","TAMDIL LAKE, SAITUAL","LAKE","MIZORAM","17","23","8.0","9.4","6.3","8.3","39","498","1.0","1.5","0.32","2.56","","","","","",""
"5513","Pala lake at Phura Village,Siaha
District Mizoram","LAKE","MIZORAM","19","30","7.3","7.5","6.1","8.2","57","110","1.0","1.3","0.50","137.02","","","","","",""
"5728","Lake at NEC Park,Thenzawl
Village, Serchhip District,
Mizoram.","LAKE","MIZORAM","16","30","2.4","6.6","5.9","14.0","10","38","1.0","1.5","0.32","2.41","","","","","",""
"5737","Rengdil at Zamuang Village,
Mamit District, Mizoram","LAKE","MIZORAM","18","22","6.6","7.7","5.8","8.4","33","258","1.0","1.4","0.32","3.96","","","","","",""
"5750","Rungdil-I (Lake), Suangpuilawn,
Village, Saitual District, Mizoram","LAKE","MIZORAM","18","31","5.9","9.7","6.6","8.1","58","197","1.0","1.5","0.47","17.41","","","","","",""
"5751","Rungdil-II (Lake), Suangpuilaw n,
Village, Saitual District, Mizoram","LAKE","MIZORAM","18","32","5.5","8.6","6.5","8.2","120","254","1.1","1.6","0.80","7.20","","","","","",""
"3722","LAWIBUAL FISHPOND,
I.T.I VENG, AIZAWL","POND","MIZORAM","15","22","4.0","9.0","6.3","8.0","26","479","1.0","2.2","1.46","28.98","","","","","",""
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"3755","FISHPOND, RAIL CROSSING,
NEAR THERMAL POWER PLANT,
BAIRABI,KOLASIB DIST.","POND","MIZORAM","20","32","5.0","9.0","6.8","8.3","184","285","1.1","1.5","0.32","3.79","","","","","",""
"5722","Khawtlangdil/Khuahpuidil
(Pond) at Sialsuk Village, Aizawl
District, Mizoram.","POND","MIZORAM","16","22","8.0","8.9","6.4","8.2","16","70","1.0","1.2","0.32","3.04","","","","","",""
"5729","PondatBuarpui Road, Thenzawl
Village, Serchhip District,","POND","MIZORAM","14","27","1.9","7.3","6.0","7.7","18","84","1.0","1.7","0.32","6.04","","","","","",""
"5731","Pond -I,Zobawk Village, Lunglei
District, Mizoram","POND","MIZORAM","13","22","7.6","8.4","6.1","8.2","36","205","1.0","1.5","0.32","25.32","","","","","",""
"5732","Bualsendil (Pond) at Ramlaitui,
Lunglei District, Mizoram","POND","MIZORAM","16","29","3.4","8.3","6.0","7.8","26","88","1.0","1.6","0.32","3.30","","","","","",""
"5736","Pond-Z5 at Vengpui, Zawlnuam
Village, Mamit District, Mizoram","POND","MIZORAM","19","23","5.4","7.4","6.8","8.1","40","340","1.0","1.7","0.62","16.17","","","","","",""
"5741","Sihzaudil (Pond) Zotlang,
Champhai District, Mizoram","POND","MIZORAM","15","19","3.8","10.7","6.3","7.5","21","208","1.0","1.4","1.01","4.06","","","","","",""
"5742","Storage Pond at Kolasib Town,
Kolasib District, Mizoram","POND","MIZORAM","15","21","5.3","7.3","6.2","7.5","46","165","1.0","1.6","0.32","4.10","","","","","",""
"5743","Pond at Buhchangphai Village,
Kolasib District, Mizoram","POND","MIZORAM","22","31","4.5","9.2","6.4","8.0","73","168","1.0","1.6","1.00","7.26","","","","","",""
"5744","Storage Pond at Chemphai
Village, Kolasib District, Mizoram","POND","MIZORAM","15","28","4.5","10.0","6.6","7.4","48","333","1.0","1.6","0.32","7.88","","","","","",""
"5756","TuikhawhÂ thlahnar Dam at
Ngopa Village, Khawzawl District,
Mizoram","POND","MIZORAM","13","30","5.4","10.6","6.5","8.2","87","158","1.0","1.5","1.43","9.41","","","","","",""
"5757","Tlangdil at Khawhai Village,
Khawzawl District, Mizoram","POND","MIZORAM","15","26","5.6","9.0","6.6","8.6","15","33","1.1","1.5","2.20","6.97","","","","","",""
"2886","PADUM PUKHURI LAKE AT 2 I/2
MILE, NEAR NH 29","LAKE","NAGALAND","20","34","6.1","6.9","6.5","7.6","64","224","1.4","1.9","0.40","3.50","","","","","",""
"2887","RAJ PUKHURI NEAR
GOVT.HR.SECONDARY SCHOOL
PURANA BAZAAR","LAKE","NAGALAND","20","35","6.1","7.2","6.5","7.7","108","288","1.4","1.8","0.50","2.60","","","","","",""
"2437","CHILKA LAKE AT SATAPADA
(RAMSAR SITE)","LAKE","ODISHA","22","33","5.6","8.3","6.9","8.4","2602","41430","1.9","2.3","0.34","1.21","13","790","33","3500","",""
"2438","ANSHUPA LAKE AT KADALIBARI","LAKE","ODISHA","19","33","6.5","9.6","7.1","8.2","166","304","1.3","2.4","0.32","152.02","330","2300","1300","4900","",""
"3953","CHILKA LAKE AT RAMBHA
(RAMSAR SITE)","LAKE","ODISHA","18","28","5.0","9.8","7.4","8.5","18250","26890","1.2","1.7","0.32","1.08","23","790","110","1300","",""
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"3954","TAMPADA LAKE AT
CHHATRAPUR","LAKE","ODISHA","22","28","6.6","8.9","7.8","8.5","548","870","3.2","4.3","0.32","0.86","220","330","700","1700","",""
"3955","ANSHUPA LAKE AT
SUBARANAPUR","LAKE","ODISHA","20","33","6.8","9.1","6.9","8.2","150","305","1.5","2.5","0.33","1.92","220","2200","790","4900","",""
"3956","ANSHUPA LAKE AT BISHNUPUR","LAKE","ODISHA","20","33","5.3","7.9","6.9","8.5","155","240","1.3","1.9","0.32","2.10","330","1700","1700","4700","",""
"3957","ANSHUPA LAKE AT
SARANDAGARH","LAKE","ODISHA","20","35","5.9","7.5","6.8","8.4","155","208","1.1","2.4","0.43","148.02","220","1300","940","4000","",""
"2431","BINDUSAGAR ( RELIGIOUS POND
OF BHUBANESWAR CITY)
(NORTH) (LINGRAJ TEMPLE)","POND","ODISHA","23","30","5.8","8.2","6.8","8.0","276","331","1.2","1.4","0.40","1.33","330","2300","1300","4900","",""
"2432","NARENDRA POKHARI (
RELIGIOUS POND OF PURI CITY)","POND","ODISHA","19","35","3.1","10.3","7.3","8.5","620","1370","3.6","6.0","0.40","12.35","23","4900","49","170000","",""
"2433","MARKANDA POKHARI (
RELIGIOUS POND OF PURI CITY)","POND","ODISHA","18","35","3.6","10.3","7.5","8.5","580","990","3.7","5.5","0.94","14.05","23","7900","33","24000","",""
"2434","INDRADYUMNA TANK (
RELIGIOUS POND OF PURI CITY)","POND","ODISHA","18","35","5.5","9.5","7.5","8.5","660","948","3.5","6.5","0.42","10.02","13","13000","23","35000","",""
"2435","SWETAGANGA ( RELIGIOUS
POND OF PURI CITY)","POND","ODISHA","18","35","3.1","10.1","7.7","8.9","538","1370","4.2","12.0","0.74","7.15","2","2300","2","4900","2","2"
"2436","PARVATI SAGAR ( RELIGIOUS
POND OF PURI CITY)","POND","ODISHA","18","35","5.6","9.6","7.4","8.5","479","1420","4.3","5.3","0.39","7.16","33","2200","120","4900","",""
"3962","JAGANNATH SAGAR POND OF
JEYPORE","POND","ODISHA","19","28","4.1","7.0","7.3","7.6","195","340","3.2","3.5","0.61","2.34","1100","2400","1700","5400","",""
"3963","RANIGUDA POND","POND","ODISHA","22","26","3.5","12.4","7.3","7.8","565","910","3.2","5.6","0.37","5.37","460","1400","1700","4300","",""
"1396","OUSTERI LAKE, PATHUKANNU
ROAD, OUSTERI, PUDUCHERRY.","LAKE","PUDUCHERRY","28","32","4.3","6.8","7.3","8.6","204","887","1.0","2.5","0.32","0.32","2","1600","2","1600","2","350"
"1686","BAHOUR LAKE, LAKE ROAD,
BAHOUR, PUDUCHERRY.","LAKE","PUDUCHERRY","28","32","3.0","11.4","7.3","8.4","387","1360","1.0","8.8","0.32","0.32","2","1600","2","1600","2","170"
"4634","KANAGAN LAKE, LAKE ROAD,
KADHIRGAMAM, PUDUCHERRY.","LAKE","PUDUCHERRY","30","32","5.5","13.5","7.4","8.6","474","1589","1.3","7.5","0.32","0.32","4","1600","4","1600","25","150"
"1297","HARIKE LAKE AT HARIKE
VILLAGE, PUNJAB","LAKE","PUNJAB","11","28","7.8","8.2","7.6","8.0","215","332","1.2","2.0","0.30","0.76","700","1400","2100","3300","",""
"1382","HARIKE LAKE D/S FROM CANAL,
PUNJAB","LAKE","PUNJAB","11","27","6.3","8.9","7.5","8.0","215","306","1.3","2.1","0.30","0.77","630","1100","1400","2700","",""
"2912","RANJIT SAGAR RESERVOIR,
PUNJAB","LAKE","PUNJAB","8","45","7.6","8.8","7.3","7.7","172","241","1.0","1.1","0.30","0.61","17","26","63","94","",""
"5507","Kanjli Lake at Barrage","LAKE","PUNJAB","19","19","6.6","6.6","7.2","7.2","280","280","1.5","1.5","0.50","0.50","450","450","1700","1700","",""
"5511","Ropar Lake at Ropar Head works","LAKE","PUNJAB","20","20","8.0","8.0","7.8","7.8","293","293","1.0","1.0","2.20","2.20","130","130","580","580","",""
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"5512","Nangal wild life sanctuary at
Nangal Head Works","LAKE","PUNJAB","18","18","9.9","9.9","8.1","8.1","260","260","1.0","1.0","1.80","1.80","84","84","260","260","",""
"5508","Fish Pond Dalla Keshopur miani","POND","PUNJAB","31","31","9.5","9.5","7.7","7.7","437","437","50.0","50.0","1.80","1.80","1200","1200","2600","2600","",""
"5509","Fish Pond Maini at keshopur
miani","POND","PUNJAB","32","32","10.2","10.2","7.1","7.1","376","376","55.0","55.0","1.80","1.80","1100","1100","3100","3100","",""
"1285","PICHOLA LAKE AT UDAIPUR
(WATER INTAKE POINT),
RAJASTHAN","LAKE","RAJASTHAN","23","29","5.0","6.3","7.1","7.9","509","725","2.5","3.9","2.23","5.80","41","94","110","210","9","14"
"1286","UDAISAGAR LAKE AT UDAIPUR
(INTAKE PT.) RAJASTHAN","LAKE","RAJASTHAN","22","30","4.8","5.8","6.9","8.0","822","1340","3.2","4.8","1.55","3.06","58","110","140","220","17","31"
"1414","PUSHKAR LAKE, RAJASTHAN","LAKE","RAJASTHAN","18","37","4.2","8.5","7.1","8.8","238","443","2.4","4.6","0.83","2.62","84","240","140","350","21","58"
"1481","FATEH SAGAR LAKE AT UDAIPUR
INTAKE POINT OF PHED,
RAJASTHAN","LAKE","RAJASTHAN","22","29","5.0","5.7","7.4","8.4","640","940","2.2","4.1","2.44","3.44","41","94","110","170","6","11"
"1714","KAYALANA JHEEL JODHPUR,
RAJASTHAN","LAKE","RAJASTHAN","19","30","4.6","7.2","7.1","8.3","328","641","1.0","2.0","1.38","4.72","","","7","16","",""
"1716","NAKKI LAKE, MT. ABU,
RAJASTHAN","LAKE","RAJASTHAN","17","28","4.9","6.4","6.7","8.2","373","895","1.0","2.0","1.20","1.94","2","5","5","25","2","2"
"2935","JET SAGAR LAKE, BUNDI,
RAJASTHAN","LAKE","RAJASTHAN","21","30","4.9","6.1","7.5","8.7","208","473","1.2","2.6","0.62","2.23","130","350","240","540","21","63"
"2936","JAISAMAND LAKE, ALWAR,
RAJASTHAN","LAKE","RAJASTHAN","26","31","5.8","6.4","7.0","8.5","157","372","2.2","15.6","0.65","1.95","21","33","40","70","4","21"
"2937","SILISERH LAKE, ALWAR,
RAJASTHAN","LAKE","RAJASTHAN","12","32","6.2","8.1","7.0","8.9","158","2952","1.0","10.2","0.53","11.78","6","17","11","33","2","11"
