"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"3809","JORPUKHURI AT UZANBAZAR
(UGRATALA TEMPLE)","POND","ASSAM","18","32","5.0","10.3","7.0","7.8","336","490","2.0","2.8","0.60","1.70","360","920","1400","2000","96","290"
"4006","NETAI PUKHURI AT NETAI
PUKHURI","POND","ASSAM","17","31","5.6","7.6","6.8","7.7","78","112","2.0","2.5","0.70","1.00","300","360","730","910","100","140"
"4334","THOWRADOLE PUKHURI,
THOWRADOLE G.P. DEMOW
BLOCK","POND","ASSAM","16","32","5.3","7.2","6.7","7.6","74","122","1.8","2.8","0.70","1.20","300","360","730","910","110","140"
"2557","KAWAR LAKE NEAR JAYMANGLA
GARH TEMPLE AT BEGUSARAI","LAKE","BIHAR","17","33","6.3","9.5","7.1","8.5","169","373","1.2","2.9","0.30","0.62","170","13000","270","17000","2","13"
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"2571","MOTI JHEEL AT MOTIHARII NEAR
GAYATRI MANDIR, MOTIHARI,
EAST CHAMPARAN","LAKE","BIHAR","16","37","9.1","12.3","7.5","8.9","580","852","2.3","8.0","0.30","0.71","790","54000","1300","92000","2","94"
"4296","SIKANDRAPUR LAKE AT
SIKANDARPUR, MUZAFFARPUR","LAKE","BIHAR","13","33","6.9","12.2","7.2","8.1","594","1131","1.0","4.2","0.30","3.28","330","54000","490","92000","2","240"
"2573","DIGHI TALAB NEAR KACHHARI
ROAD, GAYA","POND","BIHAR","19","34","8.0","14.1","7.2","8.7","397","920","1.2","5.0","0.30","1.08","2","54000","2","92000","2","13"
"2574","SURAJ KUND NEAR VISHNUPAD
MANDIR ,GAYA","POND","BIHAR","20","33","7.5","12.0","7.5","8.1","341","814","1.5","4.4","0.30","1.27","2","35000","2","54000","2","49"
"2046","SUKHNA LAKE, CHANDIGARH","LAKE","CHANDIGARH","15","32","6.6","10.4","7.3","8.9","183","274","1.6","3.6","0.60","3.20","27","140","140","920","",""
"3164","NEHRU NAGAR TALAB, BHILAI,
CHHATISGARH.","POND","CHHATTISGARH","26","31","5.4","7.2","7.1","7.6","438","614","2.4","14.0","0.50","1.80","460","460","110","460","",""
"3031","BHALSWA LAKE, DELHI","LAKE","DELHI","","","0.3","4.8","7.9","8.2","","","49.0","89.0","0.52","0.71","380","4000000","","","",""
"3476","LAKE NEAR IIT FLYOVER, DELHI","LAKE","DELHI","","","0.3","0.3","7.8","8.6","","","56.0","107.0","0.30","0.81","3300","34000000","","","",""
"2269","MAYEM LAKE, BICHOLIM","LAKE","GOA","26","32","5.3","8.5","5.7","7.3","35","1287","1.0","1.8","0.32","0.32","680","1700","1100","5400","79","350"
"3175","ANJUNEM LAKE","LAKE","GOA","26","31","0.7","7.4","6.2","7.6","34","49","1.0","4.4","0.32","1.52","49","1300","94","2200","8","170"
"3177","CARAMBOLIM LAKE","LAKE","GOA","26","33","4.3","7.3","6.8","7.8","93","243","1.0","1.9","0.32","1.31","110","2400","140","5400","46","170"
"3178","RAITOLLEM LAKE","LAKE","GOA","27","30","4.0","6.7","6.6","8.3","110","1316","1.0","1.9","0.32","0.74","490","3300","940","5400","79","240"
