"Water Quality data of Medium & Minor River Monitored Under NWMP-2024"
"STN Code","Monitoring Location","River","State Name","Temperature
(°C)","Dissolved
O2 (mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"3414","RIVER DHALAI AT CHANDRAIPARA, D/S OF AMBASSA TOWN, DHDAHLAALI","AI","TRIPURA","24","30.5","5.3","6.1","6.91","7.49","122","159","1.1","1.6","0.8","1.1","38","58","110","240","",""
"3415","RIVER DHALAI AT KAMALPUR D/S, DHALAI","DHALAI","TRIPURA","23.5","30.5","5.4","6.1","6.71","7.55","110","174","1.1","1.7","0.6","1.2","38","58","110","280","",""
"3416","RIVER DHALAI AT MANIK BHANDHER, DHALAI","DHALAI","TRIPURA","23.5","31","5.5","6.3","6.81","7.49","120","168","1.1","1.7","0.8","1","41","58","110","220","",""
"3420","RIVER LONGAI AT DAMCHERRA (INTERSTATE BOUNDRY), NORTLHO TNRGIPAUI RA","","TRIPURA","23","30.5","5.4","6.4","6.79","7.59","115","163","1.1","1.6","0.6","1","38","49","94","210","",""
"3421","RIVER JURI AT KRISHNAPUR, D/S OF DHARMANAGAR, NORTH TRJIUPURIR A","","TRIPURA","23.5","31","5.5","6.2","6.75","7.59","118","177","1.1","1.6","0.8","0.9","38","58","110","210","",""
"3422","RIVER DEO AT PECHARTHAL D/S, NORTH TRIPURA","DEO","TRIPURA","23.5","31","5.3","6.1","6.89","7.59","118","183","1.1","1.8","0.7","1.3","38","58","110","240","",""
"4219","RIVER DEO AT SANTIPUR","DEO","TRIPURA","25","31","5.4","6.3","7.01","7.45","127","193","1.2","1.7","0.8","1.1","39","70","110","220","",""
"4220","RIVER DEO AT SUBASH NAGAR","DEO","TRIPURA","25.5","31","5.2","5.9","6.13","7.12","117","178","1.2","1.8","0.8","1","39","58","110","170","",""
"STN Code","Monitoring Location","River","State Name","Temperature
(°C)","Dissolved
O2 (mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"4640","RIVER HAORA AT BORDOWALI, HAORA","HAORA","TRIPURA","24.5","32","5.1","5.8","6.78","7.59","134","189","1.3","2.4","1","1.7","58","84","210","350","",""
"4645","RIVER CHELIKHOLA D/S OF BURIGAON","BURIGAON","TRIPURA","24.5","31.5","5.4","5.9","6.88","7.57","115","189","1.2","2.1","0.8","1.5","48","84","170","350","",""
"4646","RIVER GOLAGHATI U/S OF BURIGAON RIVER","BURIGAON","TRIPURA","25","31.5","5.1","5.8","7.19","7.77","135","194","1.2","1.9","0.8","1.3","48","110","210","350","",""
"4654","RIVER JURI AT CHAMTALI","JURI","TRIPURA","24","31","5.2","5.8","6.89","7.56","119","181","1.1","1.7","0.8","0.9","39","63","130","280","",""
"4655","RIVER DEO AT KANCHANPUR","DEO","TRIPURA","24","31","5.2","5.9","6.67","7.47","134","181","1.2","1.6","0.8","1.1","41","58","130","280","",""
