"Water Quality data of Medium & Minor River Monitored Under NWMP-2024"
"STN Code","Monitoring Location","River","State Name","Temperature
(°C)","Dissolved
O2 (mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"3563","RIVER NETRAVATHI AT U/S OF UPPINANGADI TOWN","NETRAVATHI","KARNATAKA","27","34","6.2","7.7","7","8.5","51","260","1.6","3","0.3","1.48","21","48","210","920","",""
"5173","RIVER PERUVAMBA AT ETTIKULAM, KANNUR","PERUVAMBA","KERALA","30","32","3.6","8.6","7","8.5","","","1","4.5","","","10","460","50","50","",""
"17","RIVER PERIYAR AT ALUVA-ELOOR","PERIYAR","KERALA","26","30","4.3","7.4","6.3","8.7","41","22780","1","3.4","0.3","0.38","200","2800","1100","4600","40","630"
"18","RIVER PERIYAR AT KALADY","PERIYAR","KERALA","25","30","6.1","10.1","6.1","8.5","25","53","1","4.3","0.3","0.54","70","20000","350","35000","31","700"
"20","RIVER CHALIYAR AT KOOLIMADU","CHALIYAR","KERALA","26","32","6.7","8.1","6.1","8","58","143","1","1.5","0.3","0.4","110","6000","210","9000","20","690"
"21","RIVER CHALIYAR AT CHUNGAPALLY","CHALIYAR","KERALA","26","32","6.5","8","6.57","7.4","64","42980","1","1.4","0.3","0.51","210","2500","490","16000","1.8","540"
"42","RIVER KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR","KALLADA","KERALA","26","29","6","8.6","7","7.5","55","139","1","3.6","0.3","3.6","100","170","600","710","20","40"
"43","RIVER MUVATTAPUZHA AT VETTIKKATTUMUKKU","MUVATTAPUZHA","KERALA","27","28","5.6","7.8","6.3","6.9","60","89","1","1.5","0.3","1.58","1.8","750","400","1200","1.8","1.8"
"1154","RIVER CHALAKUDY AT PULIKKAKADAVU, THRISSUR","CHALAKUDY","KERALA","26","30","4.6","8.9","6.3","8.03","44","374","1","2.9","0.3","0.36","130","3800","260","7000","10","1100"
"1155","RIVER KARAMANA AT MOONNATTUMUKKU, KERALA","KARAMANA","KERALA","28","30","0.3","7.2","6.4","7","194","5124","1.4","15","0.3","25.6","1300","24800","3800","40000","1.8","1.8"
"1156","RIVER PAMBA AT CHENGANNUR, ALAPPUZHA","PAMBA","KERALA","26","28","4.4","7.4","6.3","7.6","42","110","1","4.9","0.3","2.91","94","2000","280","6000","1.8","1.8"
"1338","RIVER PERIYAR AT SEWAGE DISCHARGE POINT,ALUVA, ERNAKUPLEARMIY","AR","KERALA","26","30","4.5","7.5","6.1","7.8","40","75","1","2.7","0.3","0.72","490","3900","700","8400","40","410"
"1339","RIVER MEENACHIL AT KIDANGOOR, KOTTAYAM","MEENACHIL","KERALA","27","29","5.9","7.5","6.04","7.13","43","104","1","1.6","0.3","0.84","49","1000","250","2000","1.8","1.8"
"1340","RIVER MANIMALA AT KALLOOPARA, KERALA","MANIMALA","KERALA","29","31","6.1","8","7.2","9.3","81","360","1","6.2","0.3","0.65","1.8","2500","210","3900","1.8","1.8"
"1341","RIVER PAMBA AT THAKAZHY, KERALA","PAMBA","KERALA","25","29","4.5","6.6","5.9","7.5","50","154","1","5","0.3","3.9","20","800","240","3200","1.8","1.8"
"1342","RIVER ACHANKOVIL AT THUMPAMON","ACHANKOVIL","KERALA","25","29.5","5.7","8.1","6.5","7.6","60","192","1","2.8","0.3","1.9","100","210","620","920","20","49"
"1384","RIVER MANIMALA AT THONDRA, KERALA","MANIMALA","KERALA","29","31","5.3","7.8","6.5","9.1","98","283","1","6.3","0.3","0.31","100","8300","400","14000","1.8","1.8"
"1442","RIVER VAMANAPURAM AT VAMANAPURAM, THIRUVANANVATHMAAPNUARPAUMR","AM","KERALA","28","29","5.3","8.3","6.24","7.2","55","176","1","1.5","0.3","0.3","700","2600","1100","4200","1.8","1.8"
"1443","RIVER ACHANKOVIL AT CHENNITHALA, ALAPPUZHA","ACHANKOVIL","KERALA","27","29","4","7.3","6.5","7.9","79","231","1","4.2","0.3","1.9","110","240","540","790","20","49"
"1563","RIVER NEYYAR AT AMARAVILA","NEYYAR","KERALA","28","29","6.1","8.4","6.1","6.85","59","125","1","1.7","0.3","0.3","300","2000","800","3800","1.8","1.8"
"1564","RIVER ITHIKKARA KERALA","ITHIKKARA","KERALA","25","29","5.2","8.1","7.1","7.8","90","4341","1","2.9","0.4","3.2","110","210","600","790","10","40"
"1565","RIVER PAMBA DOWN, KERALA","PAMBA","KERALA","26","28","4","7.1","6.2","7.4","50","113","1","3.1","0.3","2.2","70","2600","220","4200","1.8","1.8"
"1566","RIVER KADALUNDI AT THIRURANGADY, KERALA","KADALUNDI","KERALA","23","31","3.9","7.7","6.1","7.1","75","180","1","8.7","0.3","1.2","1.8","1100","250","4200","1.8","60"
"1567","RIVER KUTTIYADY ESTATE, KERALA","KUTTIYADY","KERALA","26","35","7","9","5","8.1","24","45","1","1","0.3","0.71","100","2500","200","3600","1.8","120"
"1568","RIVER MAHE AT VALAYAM, KOZHIKODE","MAHE","KERALA","26","33","4.9","8","6.16","7.7","38","87","1","1.5","0.3","0.45","210","4300","490","40000","1.8","1200"
"1569","RIVER KUPPAM THALIPARAMBA, KERALA","KUPPAM","KERALA","26","31","3.8","7.8","6.5","7.52","59","32500","1","3","0.3","1.6","80","220","150","480","10","43"
